id,type,name,nameResale,nameAI,description,latitude,longitude,annualRevenueIncreasePct,createdAt,updatedAt,parentId,picture,isFavorite
218,neighbourhood,La Carolina-Guadalpín,"La Carolina-Guadalpín,The Golden Mile",Malaga,,36.51024120,-4.91866720,7.85,2025-05-29 17:15:49.118854,2025-06-04 08:56:34.794599,215,"",f
154,neighbourhood,Suárez,,Malaga,,36.72768190,-4.44240240,5.01,2025-05-29 17:15:49.118854,2025-06-04 10:40:15.601131,151,"",f
191,area,Ciudad Jardín,Ciudad Jardín,Malaga,,36.75460750,-4.42013800,5.01,2025-05-29 17:15:49.118854,2025-06-04 10:47:27.826463,122,"",f
195,area,Teatinos,Teatinos,Malaga,,36.72718930,-4.47032020,5.01,2025-05-29 17:15:49.118854,2025-06-04 10:47:42.029904,122,"",f
402,province,Alicante,Alicante,Alicante,,38.48258010,-0.75328090,,2025-05-30 10:31:49.383121,2025-06-05 13:54:05.4536,1,"",f
215,area,Nagüeles-Milla de Oro,Sierra Blanca,Malaga,"An exclusive residential enclave within Marbella’s famed Golden Mile, Nagüeles offers peace and privacy just minutes from the beach and city center. Surrounded by lush greenery and prestigious villas, it’s ideal for those seeking elegance and proximity to luxury amenities.",36.52200610,-4.91935640,7.85,2025-05-29 17:15:49.118854,2025-06-12 12:43:35.970447,207,"",f
217,neighbourhood,Lomas de Marbella Club,,Malaga,"A prestigious, secure community at the heart of the Golden Mile. Lomas de Marbella Club offers top-tier villas, penthouses, and proximity to the Marbella Club, Puente Romano, and beach. A top choice for discerning buyers valuing luxury and centrality.",36.50733710,-4.93035480,7.85,2025-05-29 17:15:49.118854,2025-06-12 12:45:17.428346,215,"",f
359,area,La Línea,La Línea,Sotogrande,,36.16825630,-5.34947190,6.59,2025-05-29 17:15:49.118854,2025-06-16 12:25:12.126181,347,"",f
354,neighbourhood,La Alcaidesa,La Alcaidesa,Sotogrande,,36.23527800,-5.31916700,6.59,2025-05-29 17:15:49.118854,2025-06-16 12:33:42.580494,351,"",f
251,neighbourhood,Bahía de Marbella,Bahía de Marbella,Malaga,,36.50225870,-4.83074090,7.85,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,249,,f
252,neighbourhood,Alto de los Monteros,Altos de los Monteros,Malaga,,36.52732610,-4.83552100,7.85,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,249,,f
253,neighbourhood,Bello Horizonte-Lindasol,Torre Real,Malaga,,36.51664100,-4.85795600,7.85,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,249,,f
254,neighbourhood,Los Monteros,Los Monteros,Malaga,,36.50565230,-4.82587970,7.85,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,249,,f
58,area,Montealto,,Benalmádena,,36.60169720,-4.54853890,5.77,2025-05-29 17:15:49.118854,2025-06-02 09:47:42.384934,42,"",f
85,neighbourhood,Atalaya-Isdabel,"Atalaya-Isdabel,El presidente,Hacienda del Sol,Atalaya",Estepona,,36.46469460,-5.01466970,8.21,2025-05-29 17:15:49.118854,2025-06-03 10:44:43.806267,77,"",f
406,area,Torrevieja,Torrevieja,,,37.98488060,-0.68043370,,2025-06-04 13:44:46.82815,2025-06-04 13:44:46.82815,405,"",f
405,municipality,Costa Blanca,Costa Blanca,,,38.50438380,-0.26434550,,2025-06-04 13:44:26.056044,2025-06-04 13:47:44.86734,402,"",f
407,area,Santa Pola,Santa Pola,,,38.19656140,-0.56124380,,2025-06-04 13:48:12.310312,2025-06-04 13:48:12.310312,405,"",f
408,area,Denia,Denia,,,38.83879920,0.10505570,,2025-06-04 13:49:49.784389,2025-06-04 13:49:49.784389,405,"",f
409,area,Benidorm,Benidorm,,,38.54119280,-0.12338310,,2025-06-04 15:28:47.635348,2025-06-04 15:28:47.635348,405,"",f
410,area,Busot,Busot,,,38.48359310,-0.41782010,,2025-06-04 15:29:56.737727,2025-06-04 15:29:56.737727,405,"",f
411,area,Torre de la Horadada,Torre de la Horadada,,,37.86528080,-0.76498350,,2025-06-04 15:32:05.942664,2025-06-04 15:32:05.942664,405,"",f
342,municipality,Vélez-Malaga,"Vélez-Málaga,Algarrobo",Pinos de Alhaurín,,36.78763320,-4.10509500,2.1,2025-05-29 17:15:49.118854,2025-06-05 10:44:22.406452,2,"",f
39,area,El Madroñal,El Madroñal,Benahavís,"These ultra-private, gated hilltop estates offer panoramic views, unmatched exclusivity, and full security. Preferred by high-net-worth individuals seeking privacy, nature, and luxury living — just 15–20 minutes from Marbella’s coast.",36.52688480,-5.00548030,6.59,2025-05-29 17:15:49.118854,2025-06-12 12:45:32.729757,31,"",f
41,area,La Zagaleta,La Zagaleta,Benahavís,"These ultra-private, gated hilltop estates offer panoramic views, unmatched exclusivity, and full security. Preferred by high-net-worth individuals seeking privacy, nature, and luxury living — just 15–20 minutes from Marbella’s coast.",36.54413250,-5.02318720,6.59,2025-05-29 17:15:49.118854,2025-06-12 12:45:41.902923,31,"",f
38,area,La Alquería,,Benahavís,"La Alquería is a rising luxury residential area in Benahavís, just 10 minutes from Puerto Banús. Surrounded by golf courses and open sea and mountain views, it offers modern villas and elegant apartments in a quiet, secure environment. Ideal for families, investors, or second-home buyers seeking serenity, views, and high-quality construction — all within easy reach of Marbella, Estepona, and top schools.",36.49344440,-5.02611490,6.59,2025-05-29 17:15:49.118854,2025-06-12 13:04:12.775039,31,"",f
412,municipality,Guaro,Guaro,,,36.65648590,-4.83456540,,2025-06-13 14:18:52.967969,2025-06-13 14:18:52.967969,2,"",f
352,neighbourhood,Guadiaro,"Guadiaro,Pueblo Nuevo de Guadiaro,San Diego,Punta Chullera,Torreguadiaro,San Enrique de Guadiaro",Sotogrande,,36.29980780,-5.30338950,6.59,2025-05-29 17:15:49.118854,2025-06-16 12:25:56.174154,351,"",f
356,neighbourhood,Sotogrande,"Sotogrande,Sotogrande Alto,Sotogrande Costa,Sotogrande Marina,Sotogrande Playa,Sotogrande Puerto,San Enrique",Sotogrande,,36.27784570,-5.29307500,6.59,2025-05-29 17:15:49.118854,2025-06-16 12:33:53.550146,351,"",f
238,neighbourhood,Huerta del Prado-La Montua,,Marbella,"La Montua is a small, established residential enclave in Marbella (Málaga, Spain), perched just north of the city centre above the Huerta del Prado district.

Its gently sloping streets are lined with mature pine and palm trees, providing both privacy and lush greenery. From here, residents enjoy sweeping panoramic views of the Mediterranean coastline, the Sierra Blanca range and La Concha peak. Despite its peaceful, suburban feel, La Montua lies within easy reach of Marbella’s Old Town, beaches, marina, schools and shops, making it a prized balance of tranquility and convenience",36.52213420,-4.89077830,7.85,2025-05-29 17:15:49.118854,2025-07-11 11:49:15.11945,229,"",f
288,area,La Mairena,La Mairena,Ojén,"La Mairena is an upmarket residential enclave perched on the hillside above Elviria in the municipality of Ojén, Málaga. Nestled at approximately 430 m above sea level within the foothills of the Sierra de las Nieves, it benefits from a unique microclimate—cooler summers and mild winters—surrounded by mature pine and cork oak forest. The area offers residents panoramic sea and mountain views, extensive walking and mountain-bike trails, and direct access to the Santa María Golf Club.",36.52966320,-4.75500110,4.83,2025-05-29 17:15:49.118854,2025-07-11 12:42:29.649429,287,"",f
82,neighbourhood,Bel-Air,"Bel Air,Diana Park",Estepona,"Bel-Air is a prestigious gated enclave on the western edge of Estepona, set amid mature pine and cork-oak woodlands and offering luxury villas with panoramic sea and golf-course views—all within minutes of the beach, Santa María Golf Club and the town centre, and just a 15-minute drive to Marbella and 10 minutes to Puerto Banús.",36.46601930,-5.04230540,8.21,2025-05-29 17:15:49.118854,2025-07-31 11:16:38.209177,77,"",f
